lat,long,count
40.700997,-74.012913,260
40.737827,-73.861868,138
40.678156,-73.942454,173
40.714075,-73.950500,1023
40.742286,-73.980637,166
40.871461,-73.867708,835
40.766248,-73.926201,14
40.865788,-73.926572,861
40.794953,-73.971437,4870
40.662210,-73.875022,2
40.583797,-73.946928,36
40.889148,-73.830385,351
40.817567,-73.938233,97
40.751112,-73.975249,333
40.663254,-73.961545,29
40.589463,-73.810004,253
40.674393,-74.006858,266
40.844317,-73.916212,35
40.826909,-73.870052,55
40.616339,-74.030953,217
40.810726,-73.926622,1258
40.588635,-73.816941,12
40.656350,-73.906839,35
40.748132,-73.910118,16
40.683582,-73.821829,52
40.695061,-73.909580,56
40.896760,-73.868569,32
40.740347,-73.920214,46
40.729505,-73.998248,139
40.779661,-73.951913,71
40.684645,-73.974102,40
40.816466,-73.907807,227
40.768784,-73.910462,179
40.652955,-73.842222,2
40.713666,-73.980072,117
40.872834,-73.912220,219
40.705266,-74.002656,78
40.602491,-73.966226,30
40.688071,-73.934567,135
40.669051,-73.901825,242
40.682085,-73.891152,37
40.700025,-73.809177,24
40.678812,-73.857714,1705
40.856610,-73.894832,83
40.715941,-74.003782,58
40.813774,-73.955985,558
40.703366,-73.814837,106
40.750294,-73.879199,84
40.645351,-73.957376,196
40.621367,-74.004537,11
40.725176,-73.984181,74
40.845767,-73.879839,369
40.639143,-74.020190,16
40.757578,-73.989545,1022
40.623853,-74.010917,21
40.757844,-73.961798,119
40.668111,-73.965926,48
40.657603,-73.916879,58
40.817288,-73.938537,131
40.670635,-73.988397,654
40.761769,-73.759859,29
40.855437,-73.890612,22
40.773618,-73.923478,3
40.628292,-74.026113,20
40.793668,-73.941690,64
40.684811,-73.868147,51
40.751797,-73.987568,35
40.625594,-73.997156,1118
40.720456,-73.955989,15
40.688055,-73.865736,10
40.671247,-73.866094,140
40.750928,-73.992530,433
40.631541,-74.103862,4
40.833452,-73.880045,21
40.708444,-73.932610,81
40.697330,-73.784568,38
40.731909,-73.871254,109
40.712362,-73.891225,356
40.694641,-73.955671,167
40.754737,-73.989758,353
40.716344,-74.001253,2905
40.838559,-73.896606,425
40.743658,-73.958883,108
40.628842,-74.031809,2
40.866607,-73.868745,55
40.680349,-73.948646,1459
40.710695,-74.005347,176
40.629121,-74.114777,203
40.639011,-74.018439,27
40.663072,-73.925782,52
40.847349,-73.918134,37
40.748463,-73.994332,281
40.833600,-73.879604,51
40.845911,-73.892120,182
40.646372,-73.906565,45
40.878703,-73.872073,27
40.741689,-74.002986,267
40.686308,-73.989379,242
40.768950,-73.924827,18
40.704661,-73.915320,41
40.668584,-73.926980,141
40.694542,-73.993363,767
40.671635,-73.874428,427
40.757833,-73.919934,281
40.647832,-73.964571,11
40.765076,-73.961346,16
40.686009,-73.929672,29
40.647020,-73.958124,512
40.739773,-73.992986,175
40.766974,-73.877017,15
40.746391,-73.895876,222
40.576285,-73.981391,6365
40.645919,-73.958074,163
40.862755,-73.904493,260
40.609777,-73.750613,1901
40.679726,-73.993836,37
40.688605,-73.985073,3758
40.725256,-73.996365,1890
40.872046,-73.875886,251
40.845868,-73.915888,125
40.594531,-73.761869,35
40.748617,-74.000420,8
40.690752,-73.998801,91
40.579933,-73.960539,8
40.855824,-73.929786,2273
40.755052,-73.832260,98
40.716147,-73.833574,29
40.763131,-73.928714,7
40.807239,-73.957037,93
40.579130,-73.835715,300
40.669095,-73.932484,1716
40.722780,-73.739624,3
40.634299,-74.138490,3
40.654952,-73.958000,273
40.721074,-73.747419,4
40.784966,-73.773678,40
40.754050,-73.847585,807
40.700593,-73.815854,846
40.647387,-73.915857,22
40.704954,-73.951069,100
40.680158,-73.945124,208
40.612313,-73.927391,5
40.618056,-74.025947,6
40.718726,-73.992184,125
40.597121,-73.941249,394
40.695067,-73.977117,101
40.830641,-73.874879,411
40.710402,-74.000225,134
40.655947,-73.981109,17
40.760400,-73.989346,394
40.867911,-73.920484,224
40.725240,-73.992212,17
40.759435,-73.784212,13
40.819068,-73.886242,103
40.701928,-74.010590,24
40.856200,-73.934015,44
40.749764,-73.869256,46
40.705775,-73.931008,36
40.573439,-74.128717,4
40.798632,-73.933497,76
40.725571,-73.982374,179
40.808496,-73.956115,121
40.814785,-73.910541,226
40.683962,-73.885221,29
40.577838,-73.846003,10
40.829598,-73.896548,395
40.575772,-74.128376,1
40.682067,-73.954143,89
40.808374,-73.946886,4476
40.593634,-73.926003,10
40.591414,-73.788859,172
40.831592,-73.859104,71
40.648867,-73.950822,411
40.770225,-73.980340,30
40.875820,-73.828249,42
40.767785,-73.981622,2883
40.658135,-73.916027,281
40.816602,-73.944672,103
40.673382,-73.834149,474
40.667493,-73.897170,752
40.642552,-74.016649,64
40.695903,-73.919290,414
40.837577,-73.945468,85
40.599724,-74.006923,4
40.732881,-73.956396,64
40.689405,-73.981117,358
40.625808,-74.022675,38
40.673781,-73.869600,59
40.845383,-73.882098,124
40.704659,-74.009602,8
40.903476,-73.912085,178
40.831058,-73.925345,79
40.788834,-73.788724,16
40.714379,-73.932932,33
40.757239,-73.968273,241
40.834285,-73.850928,49
40.858749,-73.887183,75
40.619976,-74.077325,5
40.896992,-73.843766,17
40.640212,-74.075676,60
40.872763,-73.878351,50
40.805925,-73.914299,180
40.783559,-73.980340,355
40.594543,-73.984849,20
40.622851,-74.080938,751
40.825860,-73.899816,74
40.633973,-73.948275,569
40.680239,-73.850825,513
40.753464,-73.994400,571
40.604079,-73.754726,2297
40.726804,-74.005605,22
40.692264,-73.987745,4010
40.748375,-74.007638,3
40.753063,-73.996547,461
40.583746,-73.943083,5
40.853419,-73.928921,35
40.836105,-73.938382,267
40.856750,-73.826560,21
40.713467,-73.761188,13
40.584248,-73.932530,18
40.865428,-73.867865,1339
40.610679,-73.925574,9
40.809045,-73.957433,22
40.806668,-73.954686,159
40.585299,-73.815056,15
40.746901,-73.997327,513
40.828756,-73.925406,2657
40.756160,-73.996962,215
40.685773,-73.991121,85
40.645522,-73.983721,11
40.672062,-74.010950,121
40.861884,-73.912788,218
40.690939,-73.929155,124
40.722272,-73.986765,15
40.682932,-73.964224,543
40.746902,-73.890967,2278
40.764705,-73.978093,509
40.735572,-73.979380,44
40.668598,-73.889725,48
40.646361,-73.912785,41
40.740106,-73.976199,58
40.631985,-74.017752,37
40.610337,-73.936959,8
40.861631,-73.921005,9
40.759870,-73.828970,2993
40.640577,-74.091387,8
40.753039,-73.973848,256
40.593824,-73.982268,11
40.656655,-73.930402,87
40.632129,-73.993351,29
40.755332,-73.985264,327
40.733983,-73.872824,28
40.755358,-73.989310,1225
40.799601,-73.939861,102
40.709938,-74.008983,1420
40.743810,-73.895342,38
40.674367,-73.918073,38
40.696284,-73.804359,125
40.592945,-73.794662,271
40.641754,-74.017589,1570
40.818328,-73.816804,15
40.639592,-73.920421,4
40.724585,-73.980036,177
40.693238,-73.972368,187
40.763793,-73.997417,118
40.834067,-73.944878,294
40.731978,-73.999810,122
40.793842,-73.944070,49
40.714186,-73.962443,13
40.632276,-73.970246,28
40.819119,-73.939037,148
