lat,long,count,distance
40.8019,-73.9531,144605,0.7205142000002525
40.7142,-73.7677,66764,2.1603503999999703
40.8798,-73.9067,182678,0.8365482000003794
40.7975,-73.9683,259923,0.9347273999997014
40.7339,-74.0054,90254,0.45065219999969486
40.6281,-73.9467,131540,0.8903148000003966
40.6794,-73.9496,227292,0.7613225999998576
40.8246,-73.9507,183444,1.2600305999999364
40.6969,-73.7877,137088,1.7855699999995522
40.5767,-73.9884,235460,1.9186584000003677
40.8139,-73.8841,81644,2.3020590000000993
40.7453,-73.8611,196269,1.4135868000007576
40.6744,-73.819,93436,2.2569900000003145
40.745,-73.9069,145607,1.198183199999221
40.6225,-73.965,140523,1.5026832000003196
40.8434,-73.8602,225828,0.8581860000008419
40.8247,-73.894,282523,1.0163189999998394
40.7101,-74.0013,80725,0.2494512000002942
40.8904,-73.8503,213186,0.8837621999991825
40.8011,-73.9371,344343,0.451717799999642
40.8583,-73.9296,103454,1.7633388000003833
40.5457,-74.1792,81974,2.9583660000002965
40.6102,-74.0878,130166,0.6084743999995226
40.7547,-73.9925,148538,1.2193979999997282
40.7855,-73.845,33310,3.6568763999998737
40.8376,-73.9216,327719,0.94442939999999
40.7229,-73.8473,117866,2.7861096000006
40.8737,-73.8712,359743,0.9357101999999031
40.6451,-73.945,50095,0.6917100000000573
40.7085,-74.0135,13123,0.5692967999993925
40.6621,-73.7353,56805,5.372712600000796
40.8662,-73.9221,110081,0.9426917999999205
40.6669,-73.9828,119899,0.2855988000005709
40.6205,-73.9239,167157,1.2304511999996066
40.7606,-73.7968,42301,1.3610747999987325
40.7627,-73.9149,68727,1.8906299999998737
40.6794,-74.0014,93630,1.0040171999999075
40.7347,-73.723,27184,5.610026400000152
40.6407,-73.9028,226826,2.096903999999995
40.694,-73.9903,296148,0.6094428000001244
40.6324,-74.1171,64198,0.7827672000003076
40.7038,-74.0098,1278,0.6915767999994387
40.8486,-73.8999,423069,0.8660268000007818
40.7029,-73.8111,171117,0.14085000000022774
40.8295,-73.8716,249217,1.9081590000000688
40.7816,-73.9511,102102,0.6024869999996554
40.6076,-73.8198,49467,2.918365200000153
40.8135,-73.9381,93422,0.19382939999968585
40.6179,-73.9856,114880,2.1846030000006067
40.6628,-73.9546,163179,1.026813599999059
40.6982,-73.8345,85299,1.4610900000002403
