lat,long,count
40.816466,-73.907807,227
40.768784,-73.910462,179
40.713666,-73.980072,117
40.872834,-73.912220,219
40.688071,-73.934567,135
40.669051,-73.901825,242
40.678812,-73.857714,1705
40.813774,-73.955985,558
40.703366,-73.814837,106
40.645351,-73.957376,196
40.845767,-73.879839,369
40.757578,-73.989545,1022
40.757844,-73.961798,119
40.817288,-73.938537,131
40.670635,-73.988397,654
40.625594,-73.997156,1118
40.671247,-73.866094,140
40.750928,-73.992530,433
40.731909,-73.871254,109
40.712362,-73.891225,356
40.694641,-73.955671,167
40.754737,-73.989758,353
40.716344,-74.001253,2905
40.838559,-73.896606,425
40.743658,-73.958883,108
40.680349,-73.948646,1459
40.710695,-74.005347,176
40.629121,-74.114777,203
40.748463,-73.994332,281
40.845911,-73.892120,182
40.741689,-74.002986,267
40.686308,-73.989379,242
40.668584,-73.926980,141
40.694542,-73.993363,767
40.671635,-73.874428,427
40.757833,-73.919934,281
40.647020,-73.958124,512
40.739773,-73.992986,175
40.746391,-73.895876,222
40.576285,-73.981391,6365
40.645919,-73.958074,163
40.862755,-73.904493,260
40.609777,-73.750613,1901
40.688605,-73.985073,3758
40.725256,-73.996365,1890
40.872046,-73.875886,251
40.845868,-73.915888,125
40.855824,-73.929786,2273
40.579130,-73.835715,300
40.669095,-73.932484,1716
40.654952,-73.958000,273
40.754050,-73.847585,807
40.700593,-73.815854,846
40.704954,-73.951069,100
40.680158,-73.945124,208
40.718726,-73.992184,125
40.597121,-73.941249,394
40.695067,-73.977117,101
40.830641,-73.874879,411
40.710402,-74.000225,134
40.760400,-73.989346,394
40.867911,-73.920484,224
40.819068,-73.886242,103
40.725571,-73.982374,179
40.808496,-73.956115,121
40.814785,-73.910541,226
40.829598,-73.896548,395
40.808374,-73.946886,4476
40.591414,-73.788859,172
40.648867,-73.950822,411
40.767785,-73.981622,2883
40.658135,-73.916027,281
40.816602,-73.944672,103
40.673382,-73.834149,474
40.667493,-73.897170,752
40.695903,-73.919290,414
40.689405,-73.981117,358
40.845383,-73.882098,124
40.903476,-73.912085,178
40.757239,-73.968273,241
40.805925,-73.914299,180
40.783559,-73.980340,355
40.622851,-74.080938,751
40.633973,-73.948275,569
40.680239,-73.850825,513
40.753464,-73.994400,571
40.604079,-73.754726,2297
40.692264,-73.987745,4010
40.753063,-73.996547,461
40.836105,-73.938382,267
40.865428,-73.867865,1339
40.806668,-73.954686,159
40.746901,-73.997327,513
40.828756,-73.925406,2657
40.756160,-73.996962,215
40.672062,-74.010950,121
40.861884,-73.912788,218
40.690939,-73.929155,124
40.682932,-73.964224,543
40.746902,-73.890967,2278
40.764705,-73.978093,509
40.759870,-73.828970,2993
40.753039,-73.973848,256
40.755332,-73.985264,327
40.755358,-73.989310,1225
40.799601,-73.939861,102
40.709938,-74.008983,1420
40.696284,-73.804359,125
40.592945,-73.794662,271
40.641754,-74.017589,1570
40.724585,-73.980036,177
40.693238,-73.972368,187
40.763793,-73.997417,118
40.834067,-73.944878,294
40.731978,-73.999810,122
40.819119,-73.939037,148
40.655538,-73.884099,357
40.687359,-73.985917,140
40.754171,-73.982503,3688
40.646965,-74.020938,371
40.638935,-74.167397,168
40.673976,-73.943820,255
40.824280,-73.947408,181
40.728153,-73.982012,109
40.801434,-73.964987,168
40.784562,-73.943774,227
40.748507,-73.990589,464
40.855838,-73.900140,684
40.591919,-73.967650,134
40.682176,-73.983131,683
40.745940,-73.883747,121
40.859336,-73.902210,146
40.749009,-73.937762,184
40.843013,-73.886252,446
40.816122,-73.897757,181
40.695199,-73.950849,573
40.820281,-73.845948,138
40.722495,-73.851116,375
40.816041,-73.955355,370
40.848676,-73.909599,101
40.656506,-73.914220,141
40.830650,-73.936248,597
40.700429,-73.808209,1928
40.759594,-73.980657,1368
40.594239,-73.936841,229
40.796424,-73.962166,369
40.818823,-73.941238,740
40.754820,-74.001756,117
40.844140,-73.900389,759
40.803890,-73.954092,455
40.688743,-73.944987,186
40.575992,-73.990606,437
40.637769,-74.076481,390
40.746355,-73.989330,155
40.662768,-73.907530,2511
40.785898,-73.970755,905
40.702916,-73.800062,2108
40.823557,-73.939590,223
40.765053,-73.966133,455
40.810269,-73.949305,144
40.746824,-73.984699,125
40.837934,-73.900571,101
40.839725,-73.916362,126
40.755572,-73.997493,148
40.812951,-73.949826,182
40.691215,-73.984388,279
40.694189,-73.802536,150
40.867108,-73.897693,769
40.688154,-73.946855,448
40.814712,-73.942275,1897
40.718300,-73.987401,320
40.845224,-73.933960,251
40.841085,-73.939765,497
40.870080,-73.845478,372
40.634203,-73.931442,117
40.816569,-73.896629,720
40.704547,-73.919594,909
40.722294,-73.989009,275
40.656897,-73.936756,185
40.837437,-73.944159,121
40.686965,-73.976954,343
40.893091,-73.857549,617
40.819498,-73.921803,189
40.833529,-73.860571,2651
40.848448,-73.923905,416
40.667680,-73.860442,125
40.757839,-73.991212,570
40.830532,-73.941520,326
40.604266,-73.971584,245
40.685845,-73.950665,130
40.635852,-74.165638,327
40.661885,-73.963038,363
40.640339,-74.170413,368
40.676679,-73.931770,112
40.747881,-73.991040,156
40.764420,-73.983378,145
40.849464,-73.906001,134
40.636387,-74.134527,509
40.808314,-73.908339,825
40.840166,-73.880243,405
40.794853,-73.934780,442
40.799170,-73.964786,179
40.840897,-73.842449,201
40.884281,-73.847181,141
40.633808,-73.889642,431
40.692529,-73.941389,118
40.843853,-73.936824,144
40.819435,-73.911174,112
40.711245,-73.957770,173
40.640292,-73.994334,218
40.759150,-73.960844,124
40.846775,-73.914170,139
40.654628,-74.004186,2221
40.598774,-73.937236,176
40.887460,-73.860660,524
40.681005,-73.955035,907
40.678368,-73.903520,3296
40.697685,-73.993813,1075
40.676291,-73.865781,473
40.903437,-73.850017,2041
40.753417,-73.942995,147
40.759914,-73.986292,487
40.883120,-73.903321,249
40.781788,-73.944910,303
40.766729,-73.912692,241
40.752734,-73.976548,6114
40.625813,-74.075138,106
40.733883,-74.005428,259
40.819818,-73.955436,187
40.845985,-73.907459,160
40.821074,-73.878492,148
40.792022,-73.964432,539
40.707546,-74.013776,151
40.749706,-73.993426,288
40.813903,-73.956719,185
